Birim,İlçe,Statü,İstasyon Adresi,Boylam
Beyoğlu İtfaiye İstasyonu,Şişli,Grup Amirliği,Harbiye Mh. Gümüş Sk. No:8 Şişli,28.9888
Mecidiyeköy İtfaiye İstasyonu,Şişli,Müfreze Amirliği,Fulya Mh. Garaj Sk. No:12 Mecidiyeköy Şişli,28.9982
Beşiktaş İtfaiye İstasyonu,Beşiktaş,Grup Amirliği,Yıldız Mh. Yıldız Park İçi Orhaniye Kapısı No:1 Beşiktaş,29.0125
Ortaköy İtfaiye İstasyonu,Beşiktaş,Müfreze Amirliği,Arnavutköy Mh. Kireçhane Sk. No:34 Beşiktaş,29.0401
Seyrantepe İtfaiye İstasyonu,Kağıthane,Müfreze Amirliği,Seyrantepe Mh. İ.Karaosmanoğlu Cd. NO:52 Kağıthane,28.9812
İstinye İtfaiye İstasyonu,Sarıyer,Grup Amirliği,İstinye Cd. No:106 İstinye Sarıyer,29.0531
Sarıyer İtfaiye İstasyonu,Sarıyer,Grup Amirliği,Büyükdere Mh. Maltızderesi Sk. No:15 Sarıyer,29.0384
Şişli İtfaiye İstasyonu,Şişli,Grup Amirliği,Halil Rıfat Paşa Mh. Taşkızak Cd. No:3 Şişli,28.9662
Hacıosman İtfaiye İstasyonu,Sarıyer,Müfreze Amirliği,Büyükdere Cd. Hacıosman Boğaziçi İmar M...,29.0265
Maden İtfaiye İstasyonu,Sarıyer,Müfreze Amirliği,Zekeriyaköy Mh. Kilyos Caddesi No:204 Sarıyer,29.0432
Kemerburgaz İtfaiye İstasyonu,Eyüpsultan,Müfreze Amirliği,Mithatpaşa Mh. Selanik Blv. No:80 Kemerburgaz Eyüpsultan,28.9112
Kağıthane İtfaiye İstasyonu,Kağıthane,Müfreze Amirliği,Merkez Mh. Osmanpaşa Cd. İski İçi No:7 Kağıthane,28.9615
Sadabat İtfaiye İstasyonu,Kağıthane,Müfreze Amirliği,İmrahor Cd. Dolapdere Maçka Tünel Girişi Kağıthane,28.956
Bakırköy İtfaiye İstasyonu,Bakırköy,Grup Amirliği,Koşuyolu Cd. No:45 Bakırköy,28.8812
Bayrampaşa İtfaiye İstasyonu,Bayrampaşa,Grup Amirliği,Yahya Kemal Caddesi No:85-87 Bayrampaşa,28.8977
Fatih İtfaiye İstasyonu,Fatih,Grup Amirliği,Zeyrek Mh. İtfaiye Cd. No:9 Fatih,28.9537
Florya İtfaiye İstasyonu,Bakırköy,Müfreze Amirliği,Yeşilköy Mh. Yeşilköy Halkalı Cad. No:77 Bakırköy,28.8079
Zeytinburnu İtfaiye İstasyonu,Zeytinburnu,Müfreze Amirliği,Kazlı Çeşme Mh. Zübeyde Hanım Cad. No:4 Zeytinburnu,28.9121
Davutpaşa İtfaiye İstasyonu,Esenler,Müfreze Amirliği,Çiftehavuzlar Mh. Yıldız cad. No:95 Esenler,28.8948
Eyüpsultan İtfaiye İstasyonu,Eyüpsultan,Müfreze Amirliği,Rami Cuma Mh. Talimhane Cd. No:8 Rami Eyüpsultan,28.9194
Balat İtfaiye İstasyonu,Fatih,Müfreze Amirliği,Balat Mh. Ayvansaray Cad. Şair Nedim Parkı Fatih,28.952
Eminönü İtfaiye İstasyonu,Fatih,Müfreze Amirliği,Alemdar Mh. Çatal Çeşme Sk. 48 Eminönü Fatih,28.9763
Kocamustafapaşa İtfaiye İstasyonu,Fatih,Müfreze Amirliği,Seyit Ömer Mah. Emrullah Efendi Sok. No:3 Fatih,28.9341
Arnavutköy İtfaiye İstasyonu,Arnavutköy,Grup Amirliği,Nenehatun Mah. Hasan Tahsin Cad. No:36 Arnavutköy,28.7288
Bağcılar İtfaiye İstasyonu,Bağcılar,Grup Amirliği,Fevziçakmak Mahallesi Osmangazi Cd. No:1 Bağcılar,28.8585
Gaziosmanpaşa İtfaiye İstasyonu,Gaziosmanpaşa,Müfreze Amirliği,Barbaros Hayrettin Paşa Mh. 1058 Sk. No:46 Gaziosmanpaşa,28.8936
